event_id,asset_id,token_id,user_name,profile_img_url,address,config
245237318,18269001,23000416,artmaster42069,,,
245237304,18269204,23000584,artmaster42069,,,
245237306,18269111,23000505,artmaster42069,,,
245237314,18268889,23000322,artmaster42069,,,
245237320,18268692,23000141,artmaster42069,,,
245237303,25145454,5381,veemaster42069,,,
245237302,25010675,8470,veemaster42069,,,
245237305,18268880,23000313,artmaster42069,,,
245237308,18268534,23000007,artmaster42069,,,
245237298,18268718,23000162,artmaster42069,,,
245237295,23133551,2775,DrBurry,,,
245237299,18269140,23000535,artmaster42069,,,
245237296,5101328,2269,somniummaster42069,,,
245237294,18269043,23000450,artmaster42069,,,
245237300,18268760,23000201,artmaster42069,,,
245237293,18268544,23000017,artmaster42069,,,
245237297,18269199,23000582,artmaster42069,,,
245237292,18268626,23000091,artmaster42069,,,
245237291,18268838,23000273,artmaster42069,,,
245237290,17751241,7415,dogemaster42069,,,
245237287,29081073,7331,DrBurry,,,
245237289,18269144,23000534,artmaster42069,,,
245237286,18268621,23000086,artmaster42069,,,
245237288,18268834,23000268,artmaster42069,,,
245237285,16188995,3167,voxelmaster42069,,,
245237283,18268672,23000116,artmaster42069,,,
245237281,25400912,1350,veemaster42069,,,
245237282,18268530,23000008,artmaster42069,,,
245237280,18268912,23000340,artmaster42069,,,
245237284,18268787,23000223,artmaster42069,,,
245237279,18268941,23000364,artmaster42069,,,
245237278,18268677,23000124,artmaster42069,,,
245237277,18268586,23000055,artmaster42069,,,
245237275,18268598,23000066,artmaster42069,,,
245237273,18268815,23000250,artmaster42069,,,
245237272,18268862,23000295,artmaster42069,,,
245237274,18268934,23000360,artmaster42069,,,
245237270,18269072,23000474,artmaster42069,,,
245237271,18268856,23000289,artmaster42069,,,
245237269,18268634,23000099,artmaster42069,,,
245237276,18268746,23000188,artmaster42069,,,
245237267,18269097,23000483,artmaster42069,,,
245237268,18268741,23000182,artmaster42069,,,
245237263,18268638,23000103,artmaster42069,,,
245237261,18268640,23000106,artmaster42069,,,
245237258,18268883,23000315,artmaster42069,,,
245237260,985837,3,voxelmaster42069,,,
245237264,18269003,23000410,artmaster42069,,,
245237259,18269044,23000453,artmaster42069,,,
245237256,18269183,23000577,artmaster42069,,,
245237257,18268950,23000376,artmaster42069,,,
245237262,18268795,23000230,artmaster42069,,,
245237265,18268960,23000387,artmaster42069,,,
245237252,18268914,23000338,artmaster42069,,,
245237251,18268736,23000180,artmaster42069,,,
245237266,18269018,23000428,artmaster42069,,,
245237254,18269208,23000595,artmaster42069,,,
245237253,18268600,23000068,artmaster42069,,,
245237255,18268821,23000253,artmaster42069,,,
245237250,18269051,23000454,artmaster42069,,,
245237245,14947724,1731,voxelmaster42069,,,
245237247,18268807,23000242,artmaster42069,,,
245237244,18268726,23000171,artmaster42069,,,
245237246,18269017,23000419,artmaster42069,,,
245237249,18268680,23000129,artmaster42069,,,
245237243,18268757,23000194,artmaster42069,,,
245237242,18268668,23000108,artmaster42069,,,
245237248,23297013,10475,,,,
245237240,18268775,23000216,artmaster42069,,,
245237241,18268899,23000330,artmaster42069,,,
245237239,18268595,23000063,artmaster42069,,,
245237238,18268786,23000221,artmaster42069,,,
245237236,23317080,17679,,,,
245237237,23142015,8500,DrBurry,,,
