event_id,asset_id,token_id,approved_account,asset_bundle,auction_type,bid_amount,collection_slug,contract_address,created_date,custom_event_name,dev_fee_payment_event,dev_seller_fee_basis_points,duration,ending_price,event_type,is_private,owner_account,quantity,starting_price,total_price,listing_time,pull_start_date,pull_end_date
245228124,23135171,3692,,,,2185999999999999500,boredapeyachtclub,0x7be8076f4ea4a4ad08075c2508e481d6c946d12b,2021-07-02T23:54:22.319852,,,250.0,,,offer_entered,,,1,,,,2021-07-01 00:00:00+00:00,2021-07-02 23:59:00+00:00
245228123,17526109,8403,,,,621000000000000000,art-blocks,0x7be8076f4ea4a4ad08075c2508e481d6c946d12b,2021-07-02T23:54:22.298836,,,750.0,,,offer_entered,,,1,,,,2021-07-01 00:00:00+00:00,2021-07-02 23:59:00+00:00
245228122,17184755,3130,,,,621000000000000000,art-blocks,0x7be8076f4ea4a4ad08075c2508e481d6c946d12b,2021-07-02T23:54:22.190701,,,750.0,,,offer_entered,,,1,,,,2021-07-01 00:00:00+00:00,2021-07-02 23:59:00+00:00
245228121,23106940,433,,,,2185999999999999500,boredapeyachtclub,0x7be8076f4ea4a4ad08075c2508e481d6c946d12b,2021-07-02T23:54:22.072452,,,250.0,,,offer_entered,,,1,,,,2021-07-01 00:00:00+00:00,2021-07-02 23:59:00+00:00
245228120,23125685,1150,,,,2185999999999999500,boredapeyachtclub,0x7be8076f4ea4a4ad08075c2508e481d6c946d12b,2021-07-02T23:54:22.041886,,,250.0,,,offer_entered,,,1,,,,2021-07-01 00:00:00+00:00,2021-07-02 23:59:00+00:00
245228908,19166496,5755,,,,,bastard-gan-punks-v2,0x7be8076f4ea4a4ad08075c2508e481d6c946d12b,2021-07-02T23:54:50.634179,,,250.0,,,cancelled,False,,1,,1000000000000000000,2021-06-30T04:11:17,2021-07-01 00:00:00+00:00,2021-07-02 23:59:00+00:00
245228909,30335648,88732461187573133687092799597814010497533973417531296985110997904370064886900,,,,,unstoppable-domains,0xd1e5b0ff1287aa9f9a268759062e4ab08b9dacbe,2021-07-02T23:54:50.677426,,,,,,transfer,,,1,,,,2021-07-01 00:00:00+00:00,2021-07-02 23:59:00+00:00
245228926,30335651,1111822,,,,,rarible,0x60f80121c31a0d46b5279700f9df786054aa5ee5,2021-07-02T23:54:51.636788,,,,,,transfer,,,1,,,,2021-07-01 00:00:00+00:00,2021-07-02 23:59:00+00:00
245228930,2555957,1300810,,,dutch,,cryptokitties,0xb1690c08e213a35ed9bab7b318de14420fb57d8c,2021-07-02T23:54:51.892961,,,,,,successful,,,1,,10177976851851852,,2021-07-01 00:00:00+00:00,2021-07-02 23:59:00+00:00
245228934,2555957,1300810,,,,,cryptokitties,0x06012c8cf97bead5deae237070f9587f8e7a266d,2021-07-02T23:54:52.348275,,,,,,transfer,,,1,,,,2021-07-01 00:00:00+00:00,2021-07-02 23:59:00+00:00
245229197,30335579,3104,,,,,bounty-pet-dwl0zf5dhl,,2021-07-02T23:55:04.189585,,,,,,transfer,,,1,,,,2021-07-01 00:00:00+00:00,2021-07-02 23:59:00+00:00
245229231,30335579,3104,,,,,bounty-pet-dwl0zf5dhl,,2021-07-02T23:55:04.887332,,,,,,transfer,,,1,,,,2021-07-01 00:00:00+00:00,2021-07-02 23:59:00+00:00
245229337,30329739,3093,,,,,bounty-pet-dwl0zf5dhl,,2021-07-02T23:55:05.610658,,,,,,transfer,,,1,,,,2021-07-01 00:00:00+00:00,2021-07-02 23:59:00+00:00
245229460,29980477,34025,,,,,zed-run-official,,2021-07-02T23:55:09.365466,,,,,,successful,False,,1,,100000000000000000,2021-07-02T21:50:48,2021-07-01 00:00:00+00:00,2021-07-02 23:59:00+00:00
245229192,29980477,34025,,,,,zed-run-official,,2021-07-02T23:55:04.102671,,,,,,transfer,,,1,,,,2021-07-01 00:00:00+00:00,2021-07-02 23:59:00+00:00
245228119,17260621,4203,,,,621000000000000000,art-blocks,0x7be8076f4ea4a4ad08075c2508e481d6c946d12b,2021-07-02T23:54:22.013213,,,750.0,,,offer_entered,,,1,,,,2021-07-01 00:00:00+00:00,2021-07-02 23:59:00+00:00
245228117,17329818,5231,,,,621000000000000000,art-blocks,0x7be8076f4ea4a4ad08075c2508e481d6c946d12b,2021-07-02T23:54:21.990469,,,750.0,,,offer_entered,,,1,,,,2021-07-01 00:00:00+00:00,2021-07-02 23:59:00+00:00
245228118,25048402,1858818178764089507010827120085622643531455355083321285743420562413719650305,,,dutch,,picassokittiesle,0x7be8076f4ea4a4ad08075c2508e481d6c946d12b,2021-07-02T23:54:21.992678,,,1000.0,,50000000000000000,created,False,,1,50000000000000000,,2021-07-02T23:52:35,2021-07-01 00:00:00+00:00,2021-07-02 23:59:00+00:00
245228116,26576208,1063,,,dutch,,cryptofoxes-v2,0x7be8076f4ea4a4ad08075c2508e481d6c946d12b,2021-07-02T23:54:21.879003,,,250.0,,60000000000000000,created,False,,1,60000000000000000,,2021-07-02T23:52:38,2021-07-01 00:00:00+00:00,2021-07-02 23:59:00+00:00
245228115,23142597,8998,,,,2185999999999999500,boredapeyachtclub,0x7be8076f4ea4a4ad08075c2508e481d6c946d12b,2021-07-02T23:54:21.682529,,,250.0,,,offer_entered,,,1,,,,2021-07-01 00:00:00+00:00,2021-07-02 23:59:00+00:00
